employee_id,age,gender,department_id,job_role_id,education_id,experience_years,monthly_income,salary_hike_percent,work_hours_per_week,overtime,remote_work,business_travel,distance_from_home,job_satisfaction,environment_satisfaction,relationship_satisfaction,work_life_balance,training_hours,projects_last_year,performance_rating,promotion_last_5_years,manager_rating,team_size,company_tenure,stock_option_level,marital_status,dependents,absences_last_year,health_score,stress_level,engagement_score,skill_score,ai_tool_usage,certification_count,job_level,bonus,years_in_current_role,years_with_manager,attrition,age_group,income_band,tenure_group,high_risk_segment
30,25,Female,1,4,2,1,86306,4,61,No,Yes,Rarely,48,4,3,2,5,30,6,3,No,3,21,2,1,Married,1,7,66,14,9,84,Low,15,5,35691,10,5,0,20-29,Lower-Mid,0-5 yrs,Low Risk
31,48,Male,3,4,2,6,43917,22,58,Yes,Yes,Rarely,9,5,4,4,5,114,11,2,Yes,3,11,8,2,Married,2,23,56,34,26,57,Low,5,2,15433,4,9,0,40-49,Low,6-10 yrs,Low Risk
32,58,Male,4,6,1,12,110547,20,36,No,No,Rarely,7,4,1,4,2,107,8,3,Yes,3,9,3,0,Single,4,26,77,9,25,10,Medium,5,4,39520,8,0,0,50-60,Lower-Mid,0-5 yrs,Low Risk
33,27,Male,3,1,2,22,82054,1,68,No,Yes,Rarely,21,3,4,3,2,79,5,1,Yes,1,17,17,3,Single,3,3,90,5,51,85,High,4,6,34996,2,20,0,20-29,Lower-Mid,11-20 yrs,Low Risk
34,31,Female,6,3,2,25,207296,23,66,No,No,Frequently,27,4,1,3,2,50,12,4,Yes,1,15,28,1,Married,0,26,45,35,52,74,Medium,14,7,10652,4,0,0,30-39,High,21-30 yrs,Low Risk
35,24,Female,5,6,1,35,62354,4,52,Yes,No,Rarely,34,4,2,1,1,49,8,2,No,2,3,29,3,Married,0,19,99,83,82,50,Low,5,6,14553,19,12,0,20-29,Low,21-30 yrs,Low Risk
36,60,Male,6,6,1,12,148982,12,52,Yes,Yes,Rarely,16,5,2,1,5,107,13,1,No,1,14,19,3,Married,5,13,59,24,75,32,Medium,12,6,24081,14,16,0,50-60,Upper-Mid,11-20 yrs,Low Risk
37,49,Female,2,4,3,11,31127,24,59,No,Yes,Frequently,26,5,1,1,2,45,7,3,Yes,4,18,16,0,Single,5,4,45,1,94,41,High,2,1,49286,16,12,0,40-49,Low,11-20 yrs,Low Risk
38,29,Male,6,5,1,1,42401,21,44,Yes,Yes,Frequently,40,1,3,2,3,114,10,3,No,2,10,16,3,Single,4,8,79,79,65,31,Medium,11,1,13037,5,12,1,20-29,Low,11-20 yrs,High Risk
39,31,Female,3,6,1,17,203174,20,53,Yes,No,Never,34,4,5,1,3,68,11,4,No,3,14,11,1,Married,2,24,45,42,57,30,Low,1,3,33823,8,9,0,30-39,High,11-20 yrs,Low Risk
40,58,Male,1,6,3,20,217161,13,56,Yes,No,Rarely,9,1,4,2,5,83,1,1,Yes,1,20,11,2,Single,4,11,74,1,29,53,High,9,5,8763,6,11,0,50-60,High,11-20 yrs,High Risk
41,60,Male,6,3,1,30,66582,20,39,Yes,No,Frequently,17,1,1,1,5,114,6,5,No,5,18,23,3,Single,1,28,40,18,6,8,High,0,4,12167,7,5,0,50-60,Low,21-30 yrs,High Risk
42,24,Male,6,1,3,6,28237,19,62,Yes,No,Never,12,5,5,3,1,38,11,1,No,5,2,12,3,Married,0,23,81,79,58,23,Low,3,3,15223,20,1,0,20-29,Low,11-20 yrs,Low Risk
43,28,Female,5,6,2,21,207218,9,43,No,Yes,Never,1,1,2,3,2,107,12,2,Yes,3,8,28,3,Married,4,7,64,34,81,89,High,15,4,34774,0,0,0,20-29,High,21-30 yrs,Low Risk
44,48,Male,4,1,1,14,174511,1,31,No,Yes,Rarely,40,2,2,3,2,89,1,1,Yes,2,24,20,0,Single,5,1,44,40,76,98,Medium,6,7,34989,2,12,0,40-49,High,11-20 yrs,Low Risk
45,27,Male,5,3,3,15,78929,20,48,Yes,No,Rarely,9,1,1,2,3,40,6,4,No,1,13,8,2,Single,5,24,63,27,42,99,High,15,7,18851,19,0,0,20-29,Lower-Mid,6-10 yrs,High Risk
46,47,Female,5,3,3,1,139412,18,43,No,Yes,Never,19,1,2,4,1,67,4,3,Yes,1,13,15,0,Married,5,25,92,67,24,64,High,11,7,33760,8,18,0,40-49,Upper-Mid,11-20 yrs,Low Risk
47,31,Male,3,2,1,18,81286,15,65,No,Yes,Never,21,2,3,1,4,118,7,1,No,1,13,6,2,Married,3,28,74,90,65,22,Medium,7,4,8315,17,19,0,30-39,Lower-Mid,6-10 yrs,Low Risk
48,59,Female,5,6,3,2,116353,10,40,Yes,No,Frequently,45,3,3,5,2,16,6,4,Yes,5,8,8,2,Single,5,4,55,75,93,42,High,11,2,15480,10,6,0,50-60,Lower-Mid,6-10 yrs,Low Risk
49,37,Female,2,1,2,6,68149,23,49,Yes,No,Frequently,13,1,1,1,3,26,15,4,No,1,2,12,3,Single,4,20,58,85,60,3,Low,8,5,48381,12,0,1,30-39,Low,11-20 yrs,High Risk
50,36,Male,5,2,3,27,208805,28,67,No,Yes,Never,12,5,1,4,4,40,5,1,No,2,14,22,1,Married,3,15,69,74,3,80,Medium,5,6,21499,0,12,0,30-39,High,21-30 yrs,Low Risk
51,52,Male,5,1,3,6,34999,11,36,Yes,No,Never,14,5,4,5,1,81,13,3,No,4,25,30,3,Single,5,5,65,33,66,98,Low,11,6,3710,8,8,0,50-60,Low,21-30 yrs,Low Risk
52,45,Female,5,2,3,25,41122,11,67,No,No,Rarely,15,1,3,4,5,28,13,4,No,2,7,4,0,Single,3,20,75,2,93,29,Low,11,6,41864,13,14,0,40-49,Low,0-5 yrs,Low Risk
53,39,Male,1,2,2,35,195290,21,46,No,No,Never,12,4,4,1,3,45,4,3,No,4,17,13,0,Married,1,29,59,17,50,8,Low,10,7,9201,16,11,0,30-39,High,11-20 yrs,Low Risk
54,58,Female,1,6,1,0,197308,18,39,Yes,Yes,Rarely,50,2,4,3,2,26,15,4,Yes,5,24,19,0,Married,1,15,84,2,28,68,Low,14,6,7666,17,3,0,50-60,High,11-20 yrs,High Risk
55,37,Male,6,4,1,26,86387,22,61,No,Yes,Frequently,11,4,5,5,1,20,14,3,No,5,17,21,2,Married,2,13,66,18,87,10,Low,11,6,42370,0,0,0,30-39,Lower-Mid,21-30 yrs,Low Risk
56,60,Female,6,1,1,2,203936,6,56,Yes,Yes,Frequently,7,3,3,3,4,99,9,5,Yes,3,15,10,3,Married,4,1,92,95,38,38,Medium,15,4,21870,16,8,0,50-60,High,6-10 yrs,Low Risk
57,53,Female,2,5,3,22,78354,9,38,Yes,Yes,Rarely,26,4,5,4,5,73,1,4,No,1,2,1,1,Married,4,24,82,84,8,65,High,12,5,9637,20,19,0,50-60,Lower-Mid,0-5 yrs,Low Risk
58,26,Male,5,1,1,13,35347,13,36,Yes,Yes,Frequently,9,4,3,5,3,110,5,2,No,1,12,0,3,Single,3,18,73,86,6,16,Medium,12,4,4405,0,12,0,20-29,Low,0-5 yrs,Low Risk
59,59,Male,5,4,1,9,149635,28,39,Yes,Yes,Frequently,1,4,1,1,1,27,14,1,Yes,4,2,8,1,Married,5,23,51,99,7,47,High,4,6,49764,2,9,0,50-60,Upper-Mid,6-10 yrs,Low Risk
60,56,Male,3,3,1,31,145738,28,69,Yes,Yes,Frequently,20,3,3,5,2,110,14,4,Yes,3,13,30,3,Married,5,5,49,86,15,47,High,5,6,27391,15,12,0,50-60,Upper-Mid,21-30 yrs,Low Risk
61,49,Male,4,2,3,17,173587,25,68,No,No,Never,47,3,1,2,5,106,5,5,No,2,14,12,3,Single,3,9,84,43,1,42,Medium,8,4,10307,18,1,0,40-49,High,11-20 yrs,Low Risk
62,39,Female,4,3,3,9,174922,17,61,No,No,Rarely,49,3,2,3,5,7,11,4,No,2,10,18,0,Married,3,17,45,19,69,46,Low,7,4,37984,16,8,0,30-39,High,11-20 yrs,Low Risk
63,54,Male,2,1,1,20,149934,5,48,Yes,No,Never,37,5,3,4,5,109,3,2,Yes,4,13,27,0,Married,5,14,90,65,11,20,Medium,0,3,18385,16,19,0,50-60,Upper-Mid,21-30 yrs,Low Risk
64,22,Male,1,5,2,6,33802,3,58,No,Yes,Frequently,3,5,3,2,2,48,2,1,Yes,1,19,11,3,Married,0,27,78,27,82,51,Low,2,3,20887,18,7,0,20-29,Low,11-20 yrs,Low Risk
65,26,Female,2,2,1,32,128053,5,32,Yes,No,Frequently,4,4,5,1,1,33,13,5,No,1,5,4,2,Single,1,21,87,24,39,76,High,14,7,42763,3,15,0,20-29,Upper-Mid,0-5 yrs,Low Risk
66,41,Female,6,1,2,23,92373,7,39,No,Yes,Frequently,46,1,2,1,2,118,14,2,Yes,5,13,28,1,Married,0,29,99,50,50,3,High,2,4,22267,10,7,0,40-49,Lower-Mid,21-30 yrs,Low Risk
67,51,Male,5,3,1,7,189674,22,58,No,Yes,Frequently,10,2,3,4,4,31,3,1,No,5,11,10,1,Married,3,3,60,47,59,62,Low,4,5,3725,20,6,0,50-60,High,6-10 yrs,Low Risk
68,56,Female,6,5,1,30,100034,29,45,Yes,Yes,Frequently,19,3,4,2,1,106,12,3,Yes,1,16,25,2,Single,3,0,90,16,68,37,Low,11,4,2657,13,6,0,50-60,Lower-Mid,21-30 yrs,Low Risk
69,38,Male,2,6,1,11,61195,26,35,Yes,No,Frequently,12,5,2,2,5,85,12,2,No,2,2,2,3,Single,4,25,62,24,43,37,High,15,1,1012,13,15,0,30-39,Low,0-5 yrs,Low Risk
70,29,Male,2,2,2,17,90100,18,68,No,Yes,Frequently,34,5,4,5,1,15,6,2,No,4,20,24,0,Married,0,30,86,24,64,58,High,0,5,35214,4,0,0,20-29,Lower-Mid,21-30 yrs,Low Risk
71,36,Male,1,5,3,5,83641,26,31,Yes,Yes,Rarely,45,2,2,3,1,107,10,5,No,5,9,22,3,Single,2,27,46,80,92,23,Low,8,1,30464,15,18,1,30-39,Lower-Mid,21-30 yrs,High Risk
72,53,Male,4,6,1,17,53846,27,44,No,Yes,Never,37,1,4,4,2,105,1,4,No,5,21,16,0,Married,0,24,63,16,44,52,Low,10,6,28546,18,10,0,50-60,Low,11-20 yrs,Low Risk
73,46,Female,2,4,3,35,39038,20,30,Yes,No,Rarely,34,5,2,1,3,55,4,5,Yes,2,6,13,3,Married,5,1,91,42,6,5,High,8,6,40859,8,20,0,40-49,Low,11-20 yrs,Low Risk
74,55,Male,6,1,1,2,187859,9,37,Yes,No,Frequently,42,3,2,1,1,76,15,5,No,1,16,18,1,Married,0,16,48,13,38,53,High,9,3,15951,2,17,0,50-60,High,11-20 yrs,Low Risk
75,39,Female,2,6,3,29,184895,11,59,Yes,No,Never,31,5,4,3,1,31,6,2,Yes,5,19,12,3,Single,2,5,95,89,31,42,High,10,4,17689,9,6,0,30-39,High,11-20 yrs,Low Risk
76,39,Female,6,2,1,3,30711,16,54,Yes,No,Frequently,48,5,1,5,2,86,12,2,No,3,23,11,1,Single,4,19,94,21,36,67,Low,15,3,41331,20,4,0,30-39,Low,11-20 yrs,Low Risk
77,47,Female,6,6,1,6,26133,13,47,Yes,Yes,Frequently,29,5,4,3,3,37,6,4,No,3,2,25,3,Married,3,9,51,53,69,39,Low,13,5,24707,18,7,0,40-49,Low,21-30 yrs,Low Risk
78,26,Male,6,3,1,21,109899,1,46,No,No,Frequently,35,2,3,5,5,55,9,5,No,4,16,11,0,Married,3,30,40,78,87,9,High,7,1,26838,11,16,0,20-29,Lower-Mid,11-20 yrs,Low Risk
79,46,Female,6,4,3,35,175485,28,67,No,No,Never,34,2,1,2,3,40,6,1,No,5,7,3,2,Married,4,28,66,20,81,21,High,9,7,33528,6,16,0,40-49,High,0-5 yrs,Low Risk
80,33,Female,4,2,3,26,72817,23,32,Yes,No,Rarely,1,5,3,5,1,117,5,4,Yes,5,2,21,0,Single,1,15,89,8,71,73,Medium,4,5,13011,13,19,0,30-39,Low,21-30 yrs,Low Risk
81,28,Male,3,3,1,9,66096,30,63,Yes,No,Frequently,40,5,4,1,1,87,13,5,No,2,24,7,2,Married,1,1,57,67,81,13,High,2,3,12560,14,19,0,20-29,Low,6-10 yrs,Low Risk
82,45,Female,3,6,1,1,39333,7,44,Yes,Yes,Rarely,38,4,2,3,1,115,14,4,No,4,21,8,3,Single,1,21,64,29,87,92,High,7,4,20260,12,15,0,40-49,Low,6-10 yrs,Low Risk
83,22,Female,2,3,2,15,47928,12,65,No,No,Rarely,22,2,5,4,3,51,11,1,Yes,4,13,17,1,Married,1,14,58,23,45,31,Medium,1,3,43533,0,10,0,20-29,Low,11-20 yrs,Low Risk
84,30,Female,4,1,3,15,210039,14,59,Yes,Yes,Rarely,24,1,3,2,4,48,11,5,Yes,3,17,16,1,Single,3,21,48,17,91,34,High,14,5,24116,17,7,0,30-39,High,11-20 yrs,High Risk
85,46,Female,5,4,1,32,80716,21,66,Yes,Yes,Frequently,1,1,4,1,2,99,14,2,No,2,23,28,0,Single,4,29,63,17,65,98,Medium,6,1,47101,9,2,0,40-49,Lower-Mid,21-30 yrs,High Risk
86,35,Female,6,4,3,18,58064,28,70,No,Yes,Frequently,12,4,1,3,3,114,7,1,No,2,14,11,0,Single,2,3,57,92,78,94,Low,1,4,2621,19,5,0,30-39,Low,11-20 yrs,Low Risk
87,48,Female,5,2,1,12,104449,18,44,Yes,No,Never,34,4,3,4,5,44,15,1,Yes,3,3,28,0,Single,5,3,42,20,41,27,Medium,2,4,45526,12,19,0,40-49,Lower-Mid,21-30 yrs,Low Risk
88,35,Female,1,2,3,17,163234,23,70,No,No,Never,4,3,2,4,5,108,15,2,No,2,3,30,2,Single,4,5,89,12,82,31,High,8,2,3891,5,11,0,30-39,Upper-Mid,21-30 yrs,Low Risk
89,43,Male,5,2,2,26,49258,21,60,Yes,Yes,Never,16,3,1,5,4,17,15,3,No,2,24,4,1,Married,5,26,47,26,71,55,Low,4,5,30223,12,6,0,40-49,Low,0-5 yrs,Low Risk
90,28,Male,3,5,2,18,28243,6,37,Yes,No,Frequently,8,4,2,3,4,59,10,3,No,2,19,2,0,Single,3,24,71,47,11,96,High,10,6,36939,8,3,0,20-29,Low,0-5 yrs,Low Risk
91,52,Male,1,3,3,27,153016,9,70,No,No,Never,16,5,1,2,1,3,13,4,Yes,3,13,5,1,Single,5,26,59,25,96,79,Medium,12,2,42421,11,10,0,50-60,Upper-Mid,0-5 yrs,Low Risk
92,35,Male,3,3,1,23,60741,18,70,No,No,Rarely,14,3,4,4,4,93,3,3,Yes,2,24,7,1,Single,3,20,65,71,12,6,Medium,15,2,14304,11,0,0,30-39,Low,6-10 yrs,Low Risk
93,23,Male,4,2,2,32,136527,28,51,Yes,Yes,Frequently,1,3,2,2,4,37,1,4,No,5,8,15,0,Married,4,14,67,19,69,81,Low,12,5,40623,2,1,0,20-29,Upper-Mid,11-20 yrs,Low Risk
94,42,Female,5,2,1,19,173117,9,51,No,Yes,Rarely,15,4,4,1,2,84,10,3,No,3,18,7,3,Married,2,3,54,74,24,26,High,3,2,16612,20,3,0,40-49,High,6-10 yrs,Low Risk
95,33,Female,2,6,3,33,200699,22,37,Yes,Yes,Frequently,44,4,1,4,2,110,9,5,Yes,5,5,14,3,Single,1,18,70,33,100,12,Low,11,7,40552,1,12,0,30-39,High,11-20 yrs,Low Risk
96,36,Female,1,3,3,3,122608,4,57,Yes,Yes,Never,13,1,5,1,3,21,6,3,Yes,3,5,7,2,Married,5,15,42,6,78,46,Low,11,5,21454,19,3,0,30-39,Lower-Mid,6-10 yrs,High Risk
97,23,Male,4,4,1,15,91742,25,31,No,No,Rarely,5,2,3,2,2,70,15,3,No,2,20,28,2,Married,3,0,41,46,44,20,Medium,15,7,2073,1,2,0,20-29,Lower-Mid,21-30 yrs,Low Risk
98,32,Male,4,6,1,25,149716,11,51,No,Yes,Frequently,9,4,5,5,1,27,3,3,No,3,20,14,3,Married,2,0,61,21,75,62,Medium,7,1,16301,14,19,0,30-39,Upper-Mid,11-20 yrs,Low Risk
99,23,Female,1,3,3,9,215569,8,52,No,Yes,Never,3,2,5,1,2,99,7,5,Yes,3,11,25,1,Single,5,2,59,86,98,44,High,11,5,41629,7,11,0,20-29,High,21-30 yrs,Low Risk
100,56,Female,4,5,1,25,112668,25,45,No,No,Rarely,9,3,2,1,4,51,8,4,No,2,20,2,1,Married,5,9,56,8,94,74,High,10,1,12467,18,2,0,50-60,Lower-Mid,0-5 yrs,Low Risk
101,58,Female,5,4,3,11,104753,27,34,No,No,Frequently,12,3,3,3,5,2,13,2,No,2,24,0,1,Single,3,14,52,75,78,37,High,3,2,15842,1,4,0,50-60,Lower-Mid,0-5 yrs,Low Risk
102,59,Male,3,1,2,3,45790,17,30,No,No,Rarely,14,5,3,3,1,83,8,4,No,2,3,27,3,Single,0,20,79,10,43,100,Medium,12,3,30367,0,0,0,50-60,Low,21-30 yrs,Low Risk
103,41,Male,3,3,1,20,39684,6,39,No,Yes,Frequently,24,5,4,3,5,87,10,5,Yes,5,20,10,1,Married,5,15,88,54,5,100,High,9,6,36011,14,17,0,40-49,Low,6-10 yrs,Low Risk
104,38,Female,3,6,2,23,162185,3,53,Yes,Yes,Never,15,3,4,1,1,79,3,1,Yes,5,18,6,1,Married,4,11,87,68,20,23,High,5,5,1903,11,7,0,30-39,Upper-Mid,6-10 yrs,Low Risk
105,49,Female,2,5,1,31,80872,3,30,No,Yes,Never,26,3,3,1,2,72,7,4,No,2,2,8,0,Married,5,13,55,82,30,46,Low,10,7,27892,20,8,0,40-49,Lower-Mid,6-10 yrs,Low Risk
106,40,Female,2,5,2,31,81782,2,51,No,Yes,Frequently,16,2,2,3,5,76,8,2,Yes,2,25,11,0,Married,1,13,95,73,18,39,High,0,7,7311,4,0,0,40-49,Lower-Mid,11-20 yrs,Low Risk
107,29,Male,6,2,2,19,64531,2,56,Yes,No,Never,43,3,4,3,1,74,4,2,Yes,1,6,16,1,Married,5,3,86,65,3,7,Medium,2,1,7894,15,4,0,20-29,Low,11-20 yrs,Low Risk
108,54,Male,4,5,2,27,25673,30,34,Yes,No,Rarely,15,2,1,3,2,1,5,3,Yes,1,8,16,0,Married,4,30,63,23,35,2,Medium,1,6,29736,17,9,0,50-60,Low,11-20 yrs,High Risk
109,56,Female,1,6,2,21,205954,12,39,No,No,Frequently,27,3,2,1,2,77,9,3,No,2,8,21,0,Single,4,25,42,53,92,7,Medium,10,6,42350,14,17,0,50-60,High,21-30 yrs,Low Risk
110,41,Female,4,6,2,29,176442,7,70,No,No,Frequently,46,4,1,4,5,34,10,3,Yes,5,23,7,2,Married,3,27,86,1,45,67,High,15,5,14498,4,2,0,40-49,High,6-10 yrs,Low Risk
111,54,Female,2,2,1,23,162345,4,59,Yes,Yes,Never,42,5,1,3,4,46,14,4,Yes,4,6,22,2,Married,0,11,62,27,85,67,High,9,4,43400,2,8,0,50-60,Upper-Mid,21-30 yrs,Low Risk
112,46,Female,5,1,3,18,141969,4,30,No,Yes,Frequently,32,1,5,2,5,47,9,3,No,3,2,17,1,Single,4,8,43,89,76,23,Medium,8,3,16752,7,8,0,40-49,Upper-Mid,11-20 yrs,Low Risk
113,49,Male,2,4,2,5,162671,19,53,Yes,Yes,Never,29,4,4,3,1,91,13,3,No,4,22,19,2,Married,1,12,94,82,75,17,High,6,7,46654,18,11,0,40-49,Upper-Mid,11-20 yrs,Low Risk
114,25,Female,6,6,2,13,111363,15,31,No,Yes,Never,37,1,4,4,4,53,8,2,Yes,4,14,15,1,Single,5,7,87,10,26,52,High,1,6,19266,17,10,0,20-29,Lower-Mid,11-20 yrs,Low Risk
115,45,Male,3,4,1,29,55964,27,43,Yes,No,Rarely,44,2,2,3,4,110,1,5,No,5,6,13,0,Single,2,10,52,12,67,1,Low,8,5,17192,2,10,0,40-49,Low,11-20 yrs,High Risk
116,45,Female,5,3,2,16,199051,9,45,No,No,Frequently,35,5,3,3,2,16,1,2,No,4,23,15,1,Married,2,6,69,39,91,72,High,1,6,20595,0,17,0,40-49,High,11-20 yrs,Low Risk
117,25,Male,6,5,1,26,173093,22,43,No,No,Frequently,47,1,4,2,2,7,3,4,Yes,1,6,27,0,Married,1,0,99,42,93,72,High,5,4,14470,9,6,0,20-29,High,21-30 yrs,Low Risk
118,55,Female,3,1,1,10,63214,30,33,Yes,No,Rarely,43,2,3,4,4,19,14,1,Yes,1,7,26,3,Married,1,27,77,100,41,91,High,4,3,16910,10,17,1,50-60,Low,21-30 yrs,High Risk
119,34,Female,6,1,3,9,199426,9,44,Yes,Yes,Rarely,30,4,2,2,4,42,11,4,Yes,1,13,3,1,Single,2,15,62,30,3,97,Medium,2,2,31768,8,9,0,30-39,High,0-5 yrs,Low Risk
